Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
NEFFIÈS;"RANDONNÉE NEFFIÈS ""LE FAÏGARAS""";2;10;Neffiès, village occupé depuis la préhistoire domine la plaine viticole. Cette randonnée vous offre de beaux panoramas et vous permet de cheminer à travers d’agréables sous-bois.;00:31:06;SOIR
DIO-ET-VALQUIÈRES;RANDONNÉE DIO-ET-VALQUIÈRES LE MONT MARTIN;3;19;"Randonnée ""Le Mont Martin"", Dio-et-Valquieres
Longueur 9km- Durée 3h - D+324m - Balisage Bleu - Niveau Moyen
Départ centre village, devant les jeux d'enfants.
Boucle offrant de magnifiques panoramas colorés de calcaires blancs, de basaltes noirs et de ruffes rouges. Les marcheurs garderont un souvenir précis de la grandeur des paysages combinée à un environnement naturel préservé.";03:41:02;SOIR
VILLIERS-SAINT-BENOÎT;La Chapelle Sainte-Reine à Villiers-Saint-Benoît;5;17;Randonnée balisée N°102. Ce petit chemin qui sent la noisette comme l'a chanté Mireille a ici plutôt un parfum de charmes et d'humus en sous-bois. Il est très plaisant de découvrir une nature très paysagée avec bien sûr les trognes et ces haies qui ombragent une bonne partie du parcours.;04:07:00;APRES-MIDI
LORMES;Circuit de VTT : Boucle n°19 de Lormes;1;17;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;04:32:03;SOIR
LORMES;Circuit de VTT : Boucle n°19 de Lormes;4;15;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;03:54:59;APRES-MIDI
LORMES;Circuit de VTT : Boucle n°18 de Lormes;3;18;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;04:01:15;APRES-MIDI
LORMES;Circuit de VTT : Boucle n°18 de Lormes;4;18;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;00:49:46;MATIN
LORMES;Circuit de VTT : Boucle n°17 de Lormes;3;20;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;04:51:06;SOIR
LORMES;Circuit de VTT : Boucle n°17 de Lormes;3;15;Lormes, petite commune nichée au cœur du Morvan, offre un terrain de jeu idéal pour les amateurs de VTT. Avec ses sentiers sinueux serpentant à travers les collines verdoyantes, ses chemins forestiers ombragés et ses descentes vertigineuses, Lormes est un véritable paradis pour les adeptes de deux roues tout-terrain.;03:52:10;SOIR
GY;"VTT dans les Monts de Gy : Circuit 56 ""Le bois de Natoy""";6;14;"Profitez d'une jolie vue sur le vieux bourg de Gy et son ensemble de demeures bourgoises et de maisons typiques vigneronnes, l'église 18ème, le château des Archevêques, le petit château ""De Buchet""... Gy est classée Cité de Caractère Bourgogne-Franche-Comté";00:34:37;SOIR
GY;Circuit pédestre de Fontenelay;4;15;;03:56:29;SOIR
GY;Circuit pédestre de Bellevue;2;12;;03:58:06;APRES-MIDI
ARLEUF;Circuit de Gravel: Boucle 70km de Arleuf;5;16;Une aventure sur les sommets du Morvan.;01:01:31;APRES-MIDI
ARLEUF;Circuit de Gravel: Boucle 70km de Arleuf;4;12;Une aventure sur les sommets du Morvan.;03:32:49;APRES-MIDI
ARLEUF;Circuit de Gravel: Boucle 50km de Arleuf;2;20;L'Aventure sur le toit de la Bourgogne;02:22:31;SOIR
ARLEUF;Circuit de Gravel: Boucle 50km de Arleuf;3;18;L'Aventure sur le toit de la Bourgogne;02:19:51;MATIN
ARLEUF;Circuit de Gravel: Boucle 100km de Arleuf;1;19;Une boucle unique de 100km;03:08:30;APRES-MIDI
ARLEUF;Circuit de Gravel: Boucle 100km de Arleuf;6;11;Une boucle unique de 100km;04:12:57;MATIN
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°3 de Glux-en-glenne;2;17;Le tracé exigeant (1000m de D+) part de la cour de la mairie et ancienne école du village, reconvertie en un très agréable gîte d’étape.;04:55:27;SOIR
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°3 de Glux-en-glenne;3;15;Le tracé exigeant (1000m de D+) part de la cour de la mairie et ancienne école du village, reconvertie en un très agréable gîte d’étape.;01:26:14;MATIN
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°2 de Glux-en-glenne;5;20;Voici un parcours assez facile, évoluant entre 630 et 760 mètres, de faible dénivelé (200 m de D+) offrant des ouvertures paysagères dans ces hautes terres morvandelles.;02:01:50;MATIN
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°2 de Glux-en-glenne;1;12;Voici un parcours assez facile, évoluant entre 630 et 760 mètres, de faible dénivelé (200 m de D+) offrant des ouvertures paysagères dans ces hautes terres morvandelles.;02:43:08;APRES-MIDI
GLUX-EN-GLENNE;Circuit de Gravel: Boucle 50km de Glux-en-Glenne;1;17;Sur le toit de la Bourgogne;03:03:02;MATIN
GLUX-EN-GLENNE;Circuit de Gravel: Boucle 50km de Glux-en-Glenne;2;14;Sur le toit de la Bourgogne;00:16:42;APRES-MIDI
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°1 de Glux-en-glenne;1;20;Le tracé exigeant (1000m de D+) part de la cour de la mairie et ancienne école du village, reconvertie en un très agréable gîte d’étape.;04:05:01;APRES-MIDI
GLUX-EN-GLENNE;Circuit de Trail: Boucle n°1 de Glux-en-glenne;2;11;Le tracé exigeant (1000m de D+) part de la cour de la mairie et ancienne école du village, reconvertie en un très agréable gîte d’étape.;03:18:26;APRES-MIDI
ALLIGNY-EN-MORVAN;Circuit de randonnée : Chemin du Tacot;2;11;Ce circuit de 7,5 km offre un riche patrimoine, tels que ses nombreux vestiges historiques et son ancienne voie du Tacot.;04:40:15;SOIR
ALLIGNY-EN-MORVAN;Circuit de randonnée : Chemin du Tacot;4;11;Ce circuit de 7,5 km offre un riche patrimoine, tels que ses nombreux vestiges historiques et son ancienne voie du Tacot.;04:11:16;SOIR
CHÂTEAU-CHINON (VILLE);Les sommets du Morvan Auto/Moto;4;16;"Flâner dans Saint-Honoré-les-Bains ; Remonter dans le temps à Bibracte ; Se perdre dans les forêts du Haut-Folin ; Se prendre un rafraîchissement au bar LA CORNEMUSE d’Arleuf ; Admirer la vue depuis le calvaire de Château-Chinon.";02:44:47;APRES-MIDI
CHÂTEAU-CHINON (VILLE);Les sommets du Morvan Auto/Moto;6;11;"Flâner dans Saint-Honoré-les-Bains ; Remonter dans le temps à Bibracte ; Se perdre dans les forêts du Haut-Folin ; Se prendre un rafraîchissement au bar LA CORNEMUSE d’Arleuf ; Admirer la vue depuis le calvaire de Château-Chinon.";03:13:55;SOIR
MORLET;Circuit de La Chapelle;5;17;Ce circuit vous permet de découvrir les paysages de bocage caractéristiques de la région.;02:15:27;SOIR
VIEUX-THANN;Circuit : la Waldkapelle;2;17;Une balade qui démarre sur une montée mais où les enfants adorent tinter les 3 cloches de la chapelle des bois.;01:33:25;MATIN
VIEUX-THANN;Marche santé Sentier viticole cote 425;4;20;Au programme de ce parcours entre spiritualité et mémoire de la Grande Guerre : étangs, oratoire Ifiss, fortifications, monument de la Cote 425, vignoble et panorama.;00:40:27;MATIN
LE CONTROIS-EN-SOLOGNE;En passant par la Boudinière;3;15;Entre Loire et Cher, la commune déléguée de Contres vous donne rendez-vous pour cette randonnée sur ses petits chemins de Sologne, territoire d’exception pour la richesse de son patrimoine naturel et la diversité de sa faune et de sa flore.;02:10:07;SOIR
BESANÇON;Eurovélo 6;4;10;Venez flâner sur les 187 km qui traversent la région, à la découverte de la vallée du Doubs, de Dole à Belfort.;02:27:44;SOIR
RUPT-SUR-MOSELLE;ITINÉRAIRE VTT N°5 - COL DU RHAMNÉ - DÉPART : MAIRIE DE RUPT SUR MOSELLE;3;11;"Circuit balisé au départ de la mairie de Rupt-sur-Moselle. Circuit n°5 ""Col du Rhamné"". Niveau de difficulté : rouge. Distance : 18,5 km. Dénivelé : 575 mètres. Circuit qui permet de découvrir la vallée de Grandrupt, la Croix du Lait et le Haut de Bélué. La trace GPX de l'itinéraire est téléchargeable ci-dessous.";02:06:23;APRES-MIDI
RUPT-SUR-MOSELLE;ITINÉRAIRE VTT N°7 - LE DESSUS DE RUPT - DÉPART : MAIRIE;6;18;"Circuit balisé au départ de la mairie de Rupt-sur-Moselle : circuit n°7 ""Dessus de Rupt"". Niveau de difficulté : bleu. Distance : 9 km. Dénivelé : 240 mètres. Circuit qui permet de découvrir la vallée du Dessus de Rupt et les alentours de la Croix de Parier d'où se déploie une jolie vue sur le village. La trace GPX de l'itinéraire est téléchargeable ci-dessous.";00:50:58;MATIN
RUPT-SUR-MOSELLE;ITINERAIRE VTT N°6 - CHALET DES FRAITEUX - DEPART : MAIRIE;1;13;"Circuit balisé au départ de la mairie de Rupt-sur-Moselle : circuit n°6 ""Chalet des Fraiteux"". Niveau de difficulté : rouge. Distance : 16,5 km. Dénivelé : 580 mètres. Circuit qui permet de découvrir le Chalet de la Charmotte, le Chalet des Fraiteux et la Croix du Lait. La trace GPX de l'itinéraire est téléchargeable ci-dessous.";02:58:42;SOIR
RUPT-SUR-MOSELLE;ITINÉRAIRE VTT N°3 - LINQUENY - DÉPART : COL DU MONT DE FOURCHE;5;13;Circuit balisé au départ du Col du Mont de Fourche. Circuit n°3 Linqueny. Niveau de difficulté : bleu. Distance : 10,5 km. Dénivelé : 300 mètres. Circuit qui permet de découvrir le Chalet des Sapins, l'étang du Pré Côme, le Chalet du Linqueny, un charmant étang et de jolies vues sur la vallée. La trace GPX de l'itinéraire est téléchargeable ci-dessous.;00:53:54;APRES-MIDI
RUPT-SUR-MOSELLE;ITINÉRAIRE VTT N°2 - MONT DE FOURCHE - DÉPART : COL DU MONT DE FOURCHE;5;12;"Circuit balisé au départ du Col du Mont de Fourche. Circuit n°2 ""Mont de Fourche"". Niveau de difficulté : vert. Distance : 5 km. Dénivelé : 110 mètres. Circuit qui permet de découvrir le Chalet des Sapins, un paisible étang et de jolis points de vue sur le village de Rupt-sur-Moselle depuis les hauteurs. La trace GPX de l'itinéraire est téléchargeable ci-dessous.";03:45:48;MATIN
GIRAC;Répar'Cycle46;3;19;"Envie de faire une balade ou une randonnée à vélo ? Venez vous équiper chez nous. Nous avons tout ce dont vous avez besoin pour profiter des pistes cyclables de la région entre amis ou en famille. Que vous cherchiez des VTT, des VTC, des vélos de course, ou encore des vélos pour enfants, vous avez l’embarras du choix.
Louer chez nous, c’est l’assurance d’avoir des vélos fiables et de qualité. En effet, notre flotte est régulièrement entretenue pour garantir le confort et la sécurité de nos clients.
Selon vos besoins, vous avez le choix entre plusieurs formules de location.";03:40:20;MATIN
DUINGT;Parcours VAE : Duingt - Entrevernes - la Frasse;3;10;Une très belle balade initiatique pour celles et ceux qui ne sont pas amateurs de petite reine ! 757 mètres de dénivelés sur 10 kilomètres, facile  ! avec un vélo à assistance électrique !;01:27:37;APRES-MIDI
NAILHAC;Autour de la noix à Nailhac;1;10;Outre les nombreux points de vue sur le château de Hautefort, ce parcours dans la région de Nailhac vous mènera à travers les nombreuses noyeraies qui marquent le paysage et offrent leur ombre au randonneur. Des nuciculteurs présents sur le parcours vous permettront si vous le souhaitez de découvrir;03:39:41;MATIN
NAILHAC;Autour de la noix à Nailhac;2;20;Outre les nombreux points de vue sur le château de Hautefort, ce parcours dans la région de Nailhac vous mènera à travers les nombreuses noyeraies qui marquent le paysage et offrent leur ombre au randonneur. Des nuciculteurs présents sur le parcours vous permettront si vous le souhaitez de découvrir;02:21:04;MATIN
FLORANGE;CIRCUIT DÉCOUVERTE DE FLORANGE;5;13;"Le circuit de découverte de Florange est un tracé urbain.
Durant ce parcours, vous allez traverser le poumon vert de la ville (le complexe de Bétange) mais aussi découvrir des bildstocks et croix de chemin, véritables empreintes de l’histoire de la ville.
Le circuit n’est pas adapté aux poussettes et aux personnes à mobilité réduite.";01:25:57;SOIR
RANGUEVAUX;CIRCUIT DES 3 COLLINES;4;11;"Le circuit des 3 collines est un circuit vallonné qui traverse champs et forêts.
Durant ce parcours, vous allez à trois reprises monter et descendre des collines (d’où son nom).
Néanmoins, vous pourrez admirer différents éléments naturels : forêts, plaines, pelouses calcaires, zone humide ; et croiserez probablement sur votre route moutons, vaches, insectes et flore remarquables.
Le circuit n’est pas adapté aux poussettes et aux personnes à mobilité réduite.";00:31:51;MATIN
VILLENTROIS-FAVEROLLES-EN-BERRY;"Benjamin Rabier : "" Du moyen-âge au tuffeau""";3;15;C’est un paysage de champignonnières qui s’offre aux regards : le fameux champignon de Paris a été cultivé ici. Quant au château féodal, auparavant, forteresse de défense, il est visible depuis les rues du bourg. Deux départs : l’un à l’Etang de la Planche Baron, le second au carrefour de la D 33.;03:57:24;MATIN
CHÂTILLON-SUR-LOIRE;Sentier de l'île à Gaston;1;20;"""L'Ile à Gaston"" du nom de son ancien propriétaire, abrite différents boisements alluviaux. Quant à l'écluse de Mantelot, elle permettait aux bateaux de traverser la Loire avant la construction du Pont-Canal.";01:27:23;MATIN
MARSEILLE 1ER ARRONDISSEMENT;Balade du chineur dans le quartier des antiquaires;3;17;Découvrez les rues commerçantes du centre-ville et rejoignez le quartier des Antiquaires. Trois rues parallèles et perpendiculaires regroupent de nombreuses enseignes de shopping qui sont souvent installées dans des anciens hôtels particuliers.;00:57:38;MATIN
MARSEILLE 1ER ARRONDISSEMENT;Balade du chineur dans le quartier des antiquaires;4;10;Découvrez les rues commerçantes du centre-ville et rejoignez le quartier des Antiquaires. Trois rues parallèles et perpendiculaires regroupent de nombreuses enseignes de shopping qui sont souvent installées dans des anciens hôtels particuliers.;01:44:18;APRES-MIDI
MARSEILLE 1ER ARRONDISSEMENT;Balade du chineur dans le quartier des antiquaires;5;17;Découvrez les rues commerçantes du centre-ville et rejoignez le quartier des Antiquaires. Trois rues parallèles et perpendiculaires regroupent de nombreuses enseignes de shopping qui sont souvent installées dans des anciens hôtels particuliers.;04:30:35;APRES-MIDI
